Open Time (ET),Close Time (ET),Trading Date,Direction,Entry Price,Exit Price,Profit/Loss,Status,Duration (min),Is Quick Stop,ADX,Plus DI,Minus DI,Trend Direction,Trend Strength,Is Strong Trend,Is Golden Cross,Is Death Cross,Keltner Upper,Keltner Middle,Keltner Lower,Entry vs Keltner,Bollinger Upper,Bollinger Lower,BB Bandwidth,Is Squeezing,Volatility Level,ATR
2025-01-10 11:02:01,2025-01-10 11:44:00,2025-01-10,Short,5865.00,5863.75,62.50,Profit,41,false,30.73,13.09,24.50,Down,Strong,true,false,true,5886.38,5877.50,5868.62,Below Lower,5891.75,5863.25,0.0048,true,Normal,5.92
2025-01-10 12:00:01,2025-01-10 12:20:00,2025-01-10,Short,5851.25,5855.25,-200.00,Loss,19,false,27.71,15.25,28.09,Down,Strong,true,false,true,5865.86,5859.95,5854.04,Below Lower,5868.93,5850.97,0.0031,true,Normal,3.94
2025-01-10 12:31:01,2025-01-10 14:09:29,2025-01-10,Long,5860.25,5883.20,1147.74,Profit,98,false,38.57,27.55,16.12,Up,Strong,true,true,false,5858.69,5853.56,5848.44,Above Upper,5861.06,5846.06,0.0026,true,Normal,3.42
2025-01-10 14:10:01,2025-01-10 14:30:00,2025-01-10,Short,5880.75,5887.50,-337.50,Loss,19,false,34.02,10.62,37.79,Down,Strong,true,false,true,5902.49,5896.23,5889.96,Below Lower,5911.84,5880.61,0.0053,true,Normal,4.17
2025-01-10 15:14:01,2025-01-10 15:55:00,2025-01-10,Short,5872.50,5871.00,75.00,Profit,40,false,25.68,11.88,34.75,Down,Strong,true,false,true,5885.80,5880.18,5874.55,Below Lower,5888.22,5872.13,0.0027,true,Normal,3.75
2025-01-13 09:45:01,2025-01-13 10:15:00,2025-01-13,Long,5829.00,5828.25,-37.50,Loss,29,false,23.84,25.62,19.94,Doji,Weak,false,true,false,5826.18,5819.65,5813.12,Above Upper,5827.17,5812.13,0.0026,true,Normal,4.35
2025-01-13 10:16:01,2025-01-13 10:19:00,2025-01-13,Short,5825.50,5835.75,-512.50,Loss,2,true,31.83,16.78,24.32,Down,Strong,true,false,true,5841.48,5834.49,5827.50,Below Lower,5843.82,5825.15,0.0032,true,Normal,4.66
2025-01-13 10:27:01,2025-01-13 10:37:00,2025-01-13,Short,5821.50,5833.75,-612.50,Loss,9,true,31.64,14.31,26.76,Down,Strong,true,false,true,5836.97,5830.20,5823.43,Below Lower,5839.71,5820.69,0.0033,true,Normal,4.51
2025-01-13 10:39:01,2025-01-13 11:00:00,2025-01-13,Long,5838.75,5839.00,12.50,Profit,20,false,26.43,35.19,12.39,Up,Strong,true,true,false,5835.86,5828.95,5822.04,Above Upper,5841.27,5816.63,0.0042,true,Normal,4.60
2025-01-13 11:06:01,2025-01-13 11:36:00,2025-01-13,Short,5831.50,5838.25,-337.50,Loss,29,false,53.48,11.41,23.62,Down,Very Strong,true,false,true,5846.56,5840.50,5834.44,Below Lower,5851.70,5829.30,0.0038,true,Normal,4.04
