Timestamp,Timestamp_ET,Order_Type,Entry_Type,Status,Low,High,Entry_Point,Stop_Loss,Take_Profit,Profit_Multiplier,Risk_Dollars,Contracts,At_Risk,Potential,Placed_Timestamp,Placed_Timestamp_ET,Filled_Timestamp,Filled_Timestamp_ET,Close_Timestamp,Close_Timestamp_ET,Cancel_Reason
1728653520000,2024-10-11 13:32:00,Short,EngulfingOrderBlock,Profit,5854.0,5855.25,5854.0,5855.25,5851.5,2.0,550.0,88,550.0,1100.0,1728653580000,2024-10-11 13:33:00,1728653580000,2024-10-11 13:33:00,1728653700000,2024-10-11 13:35:00,
1728657660000,2024-10-11 14:41:00,Long,EngulfingOrderBlock,Profit,5855.25,5857.25,5857.25,5855.25,5861.25,2.0,550.0,55,550.0,1100.0,1728657720000,2024-10-11 14:42:00,1728657720000,2024-10-11 14:42:00,1728658560000,2024-10-11 14:56:00,
1728659520000,2024-10-11 15:12:00,Short,EngulfingOrderBlock,Loss,5865.75,5867.5,5865.75,5867.5,5862.25,2.0,550.0,62,542.5,1085.0,1728659580000,2024-10-11 15:13:00,1728659580000,2024-10-11 15:13:00,1728659700000,2024-10-11 15:15:00,
1728903180000,2024-10-14 10:53:00,Long,EngulfingOrderBlock,Loss,5895.0,5897.0,5897.0,5895.0,5901.0,2.0,550.0,55,550.0,1100.0,1728903240000,2024-10-14 10:54:00,1728903240000,2024-10-14 10:54:00,1728903480000,2024-10-14 10:58:00,
1728905460000,2024-10-14 11:31:00,Long,EngulfingOrderBlock,Profit,5891.0,5893.75,5893.75,5891.0,5899.25,2.0,550.0,40,550.0,1100.0,1728905520000,2024-10-14 11:32:00,1728905520000,2024-10-14 11:32:00,1728906720000,2024-10-14 11:52:00,
1728911160000,2024-10-14 13:06:00,Short,EngulfingOrderBlock,Cancelled,5905.75,5907.25,5905.75,5907.25,5902.75,2.0,550.0,73,547.5,1095.0,1728911220000,2024-10-14 13:07:00,,,1728911820000,2024-10-14 13:17:00,More than ten minutes have passed and the candle wicked outside the order.
1728917220000,2024-10-14 14:47:00,Short,EngulfingOrderBlock,Cancelled,5910.5,5911.75,5910.5,5911.75,5908.0,2.0,550.0,88,550.0,1100.0,1728917280000,2024-10-14 14:48:00,,,1728917880000,2024-10-14 14:58:00,More than ten minutes have passed and the candle wicked outside the order.
1728988860000,2024-10-15 10:41:00,Long,EngulfingOrderBlock,Profit,5878.5,5883.25,5883.25,5878.5,5892.75,2.0,550.0,23,546.25,1092.5,1728988920000,2024-10-15 10:42:00,1728988920000,2024-10-15 10:42:00,1728989640000,2024-10-15 10:54:00,
1728989760000,2024-10-15 10:56:00,Short,EngulfingOrderBlock,Profit,5891.0,5893.0,5891.0,5893.0,5887.0,2.0,550.0,55,550.0,1100.0,1728989820000,2024-10-15 10:57:00,1728989820000,2024-10-15 10:57:00,1728989880000,2024-10-15 10:58:00,
1728991080000,2024-10-15 11:18:00,Short,EngulfingOrderBlock,Profit,5890.75,5893.25,5890.75,5893.25,5885.75,2.0,550.0,44,550.0,1100.0,1728991140000,2024-10-15 11:19:00,1728991140000,2024-10-15 11:19:00,1728992520000,2024-10-15 11:42:00,
1728992520000,2024-10-15 11:42:00,Long,EngulfingOrderBlock,Loss,5886.0,5887.5,5887.5,5886.0,5890.5,2.0,550.0,73,547.5,1095.0,1728992580000,2024-10-15 11:43:00,1728992580000,2024-10-15 11:43:00,1728992640000,2024-10-15 11:44:00,
1728996660000,2024-10-15 12:51:00,Long,EngulfingOrderBlock,Loss,5881.5,5883.75,5883.75,5881.5,5888.25,2.0,550.0,48,540.0,1080.0,1728997380000,2024-10-15 13:03:00,1728997380000,2024-10-15 13:03:00,1728997680000,2024-10-15 13:08:00,
1728997440000,2024-10-15 13:04:00,Short,EngulfingOrderBlock,Cancelled,5883.5,5884.75,5883.5,5884.75,5881.0,2.0,550.0,88,550.0,1100.0,,,,,1728997740000,2024-10-15 13:09:00,More than ten minutes have passed and the candle wicked outside the order.
1728997920000,2024-10-15 13:12:00,Long,EngulfingOrderBlock,Loss,5876.0,5878.25,5878.25,5876.0,5882.75,2.0,550.0,48,540.0,1080.0,1728998040000,2024-10-15 13:14:00,1728998160000,2024-10-15 13:16:00,1728998220000,2024-10-15 13:17:00,
1729003140000,2024-10-15 14:39:00,Long,EngulfingOrderBlock,Loss,5867.75,5869.25,5869.25,5867.75,5872.25,2.0,550.0,73,547.5,1095.0,1729003440000,2024-10-15 14:44:00,1729003440000,2024-10-15 14:44:00,1729003680000,2024-10-15 14:48:00,
1729004820000,2024-10-15 15:07:00,Long,EngulfingOrderBlock,Profit,5853.25,5856.5,5856.5,5853.25,5863.0,2.0,550.0,33,536.25,1072.5,1729004880000,2024-10-15 15:08:00,1729004880000,2024-10-15 15:08:00,1729005780000,2024-10-15 15:23:00,
1729006980000,2024-10-15 15:43:00,Short,EngulfingOrderBlock,Loss,5858.5,5861.75,5858.5,5861.75,5852.0,2.0,550.0,33,536.25,1072.5,1729007040000,2024-10-15 15:44:00,1729007160000,2024-10-15 15:46:00,1729007400000,2024-10-15 15:50:00,
1729071600000,2024-10-16 09:40:00,Long,EngulfingOrderBlock,Loss,5854.5,5855.75,5855.75,5854.5,5858.25,2.0,550.0,88,550.0,1100.0,1729071660000,2024-10-16 09:41:00,1729071720000,2024-10-16 09:42:00,1729071840000,2024-10-16 09:44:00,
1729075680000,2024-10-16 10:48:00,Long,EngulfingOrderBlock,Profit,5859.5,5861.75,5861.75,5859.5,5866.25,2.0,550.0,48,540.0,1080.0,1729075740000,2024-10-16 10:49:00,1729075740000,2024-10-16 10:49:00,1729075860000,2024-10-16 10:51:00,
1729076160000,2024-10-16 10:56:00,Short,EngulfingOrderBlock,Profit,5865.75,5867.5,5865.75,5867.5,5862.25,2.0,550.0,62,542.5,1085.0,1729076220000,2024-10-16 10:57:00,1729076220000,2024-10-16 10:57:00,1729076820000,2024-10-16 11:07:00,
